movie,year3:15,1986
Larry Gross,1986
"Adam Baldwin, Jesse Aragon, René Auberjonois",1986
Crime drama,1986
,1986
8 Million Ways to Die,1986
Hal Ashby,1986
"Jeff Bridges, Rosanna Arquette, Andy García",1986
"Thriller, Crime",1986
script by Oliver Stone,1986
9½ Weeks,1986
Adrian Lyne,1986
"Mickey Rourke, Kim Basinger",1986
Drama,1986
3 Razzie nominations,1986
52 Pick-Up,1986
John Frankenheimer,1986
"Roy Scheider, Ann-Margret, John Glover",1986
"Thriller, Crime",1986
from Elmore Leonard novel,1986
About Last Night...,1986
Edward Zwick,1986
"Rob Lowe, Demi Moore, James Belushi, Elizabeth Perkins",1986
Romantic comedy,1986
from a David Mamet play,1986
The Adventures of the American Rabbit,1986
Fred Wolf,1986
Barry Gordon,1986
Animated film,1986
Clubhouse Pictures,1986
Aliens,1986
James Cameron,1986
"Sigourney Weaver, Michael Biehn, Lance Henriksen, Carrie Henn, Bill Paxton, Paul Reiser, Jenette Goldstein",1986
Science fiction,1986
sequel to Alien; 7 Oscar nominations; won 8 Saturn Awards,1986
Amazons,1986
Alejandro Sessa,1986
"Penelope Reed, Joseph Whipp",1986
Science fiction,1986
,1986
American Anthem,1986
Albert Magnoli,1986
"Mitchell Gaylord, Janet Jones",1986
Drama,1986
aka Take It Easy,1986
April Fool's Day,1986
Fred Walton,1986
"Deborah Foreman, Jay Baker",1986
Horror,1986
Paramount,1986
Armed and Dangerous,1986
Mark L. Lester,1986
"John Candy, Eugene Levy, Meg Ryan",1986
Comedy,1986
Columbia,1986
Armed Response,1986
Fred Olen Ray,1986
"David Carradine, Lee Van Cleef, Mako",1986
Action,1986
CineTel,1986
Artie Shaw: Time Is All You've Got,1986
Brigitte Berman,1986
"Archive footage of Artie Shaw, Billie Holiday",1986
Documentary,1986
,1986
As Is,1986
Michael Lindsay-Hogg,1986
"Colleen Dewhurst, Robert Carradine",1986
Drama,1986
based on the play,1986
At Close Range,1986
James Foley,1986
"Christopher Walken, Sean Penn, Chris Penn, Mary Stuart Masterson",1986
Crime drama,1986
based on a true story,1986
Avenging Force,1986
Sam Firstenberg,1986
"Michael Dudikoff, Steve James",1986
Action,1986
,1986
Back to School,1986
Alan Metter,1986
"Rodney Dangerfield, Sally Kellerman, Keith Gordon, Ned Beatty, Adrienne Barbeau, Burt Young, Robert Downey Jr.",1986
Comedy,1986
Orion Pictures,1986
Band of the Hand,1986
Paul Michael Glaser,1986
"Stephen Lang, Lauren Holly, Leon",1986
Action,1986
1st film directed by Glaser,1986
Behind Enemy Lines,1986
Gideon Amir,1986
"David Carradine, Mako Iwamatsu, Steve James",1986
Action,1986
,1986
The Best of Times,1986
Roger Spottiswoode,1986
"Robin Williams, Kurt Russell, Pamela Reed",1986
Comedy,1986
written by Ron Shelton,1986
Big Trouble,1986
John Cassavetes,1986
"Peter Falk, Alan Arkin, Beverly D'Angelo, Valerie Curtin",1986
Comedy,1986
Cassavetes' final film,1986
Big Trouble in Little China,1986
John Carpenter,1986
"Kurt Russell, Kim Cattrall, Victor Wong",1986
Action,1986
20th Century Fox,1986
Black Moon Rising,1986
Harley Cokeliss,1986
"Tommy Lee Jones, Linda Hamilton, Robert Vaughn",1986
Action,1986
written by John Carpenter,1986
Blue City,1986
Michelle Manning,1986
"Judd Nelson, Ally Sheedy, Scott Wilson, David Caruso",1986
Drama,1986
5 Razzie nominations,1986
Blue Velvet,1986
David Lynch,1986
"Isabella Rossellini, Kyle MacLachlan, Laura Dern, Dennis Hopper, Hope Lange",1986
Suspense,1986
Lynch Academy Award-nominated,1986
The Boy Who Could Fly,1986
Nick Castle,1986
"Bonnie Bedelia, Lucy Deakins, Jay Underwood, Fred Savage, Fred Gwynne, Mindy Cohn, Colleen Dewhurst",1986
Fantasy,1986
20th Century Fox,1986
Brighton Beach Memoirs,1986
